
name,gender,count,year
Mary,F,7065,1880
Anna,F,2604,1880
Emma,F,2003,1880
Elizabeth,F,1939,1880
Minnie,F,1746,1880
Margaret,F,1578,1880
Ida,F,1472,1880
Alice,F,1414,1880
Bertha,F,1320,1880
Sarah,F,1288,1880
Annie,F,1258,1880
Clara,F,1226,1880
Ella,F,1156,1880
Florence,F,1063,1880
Cora,F,1045,1880
Martha,F,1040,1880
Laura,F,1012,1880
Nellie,F,995,1880
Grace,F,982,1880
Carrie,F,949,1880
William,M,9532,1880
James,M,5927,1880
Charles,M,5348,1880
George,M,5126,1880
Frank,M,3242,1880
Joseph,M,2632,1880
Thomas,M,2534,1880
Henry,M,2444,1880
Robert,M,2415,1880
Edward,M,2364,1880
Harry,M,2152,1880
Walter,M,1755,1880
Arthur,M,1599,1880
Fred,M,1569,1880
Albert,M,1493,1880
Samuel,M,1024,1880
David,M,869,1880
Louis,M,828,1880
Joe,M,731,1880
Charlie,M,730,1880
Mary,F,6919,1881
Anna,F,2698,1881
Emma,F,2034,1881
Elizabeth,F,1852,1881
Margaret,F,1658,1881
Minnie,F,1653,1881
Ida,F,1439,1881
Annie,F,1326,1881
Bertha,F,1324,1881
Alice,F,1308,1881
Clara,F,1242,1881
Sarah,F,1226,1881
Ella,F,1148,1881
Nellie,F,1096,1881
Grace,F,1089,1881
Florence,F,1046,1881
Martha,F,1044,1881
Cora,F,969,1881
Laura,F,962,1881
Carrie,F,958,1881
William,M,8524,1881
James,M,5441,1881
George,M,4664,1881
Charles,M,4636,1881
Frank,M,2834,1881
Joseph,M,2456,1881
Henry,M,2339,1881
Thomas,M,2282,1881
Edward,M,2177,1881
Robert,M,2140,1881
Harry,M,2002,1881
Walter,M,1670,1881
Arthur,M,1575,1881
Fred,M,1418,1881
Albert,M,1319,1881
Samuel,M,919,1881
David,M,750,1881
Louis,M,746,1881
Charlie,M,668,1881
Clarence,M,668,1881
Mary,F,8148,1882
Anna,F,3143,1882
Emma,F,2303,1882
Elizabeth,F,2186,1882
Minnie,F,2004,1882
Margaret,F,1821,1882
Ida,F,1673,1882
Alice,F,1542,1882
Bertha,F,1508,1882
Annie,F,1492,1882
Clara,F,1490,1882
Sarah,F,1410,1882
Florence,F,1322,1882
Martha,F,1229,1882
Ella,F,1206,1882
Grace,F,1195,1882
Laura,F,1151,1882
Bessie,F,1144,1882
Nellie,F,1138,1882
Maude,F,1089,1882
William,M,9298,1882
James,M,5892,1882
George,M,5193,1882
Charles,M,5091,1882
Frank,M,3176,1882
Joseph,M,2670,1882
Thomas,M,2610,1882
Henry,M,2579,1882
Robert,M,2500,1882
Edward,M,2477,1882
Harry,M,2232,1882
Walter,M,1805,1882
Arthur,M,1686,1882
Fred,M,1641,1882
Albert,M,1499,1882
Samuel,M,1003,1882
Louis,M,852,1882
David,M,838,1882
Clarence,M,837,1882
Charlie,M,753,1882
Mary,F,8012,1883
Anna,F,3306,1883
Emma,F,2367,1883
Elizabeth,F,2255,1883
Minnie,F,2035,1883
Margaret,F,1881,1883
Bertha,F,1681,1883
Ida,F,1634,1883
Annie,F,1589,1883
Clara,F,1548,1883
Alice,F,1488,1883
Sarah,F,1359,1883
Grace,F,1307,1883
Florence,F,1298,1883
Martha,F,1255,1883
Ella,F,1251,1883
Nellie,F,1246,1883
Bessie,F,1241,1883
Laura,F,1183,1883
Ethel,F,1132,1883
William,M,8387,1883
James,M,5223,1883
Charles,M,4826,1883
George,M,4736,1883
Frank,M,2986,1883
Joseph,M,2515,1883
Henry,M,2383,1883
Robert,M,2334,1883
Thomas,M,2316,1883
Edward,M,2250,1883
Harry,M,2110,1883
Walter,M,1705,1883
Arthur,M,1591,1883
Fred,M,1502,1883
Albert,M,1496,1883
Samuel,M,937,1883
Clarence,M,837,1883
Louis,M,796,1883
David,M,734,1883
Richard,M,649,1883
Mary,F,9217,1884
Anna,F,3860,1884
Emma,F,2587,1884
Elizabeth,F,2549,1884
Minnie,F,2243,1884
Margaret,F,2142,1884
Ida,F,1882,1884
Clara,F,1852,1884
Bertha,F,1789,1884
Annie,F,1739,1884
Alice,F,1732,1884
Florence,F,1570,1884
Grace,F,1525,1884
Sarah,F,1518,1884
Bessie,F,1451,1884
Martha,F,1443,1884
Nellie,F,1417,1884
Ethel,F,1386,1884
Ella,F,1374,1884
Mabel,F,1270,1884
William,M,8897,1884
James,M,5693,1884
George,M,4961,1884
Charles,M,4802,1884
Frank,M,3218,1884
Joseph,M,2707,1884
Thomas,M,2572,1884
Henry,M,2474,1884
Robert,M,2468,1884
Edward,M,2439,1884
Harry,M,2323,1884
Walter,M,1902,1884
Arthur,M,1690,1884
Fred,M,1638,1884
Albert,M,1435,1884
Samuel,M,945,1884
Clarence,M,889,1884
Louis,M,886,1884
Grover,M,802,1884
David,M,761,1884
Mary,F,9128,1885
Anna,F,3994,1885
Emma,F,2728,1885
Elizabeth,F,2582,1885
Margaret,F,2204,1885
Minnie,F,2178,1885
Clara,F,1910,1885
Bertha,F,1860,1885
Ida,F,1854,1885
Annie,F,1703,1885
Alice,F,1681,1885
Florence,F,1667,1885
Bessie,F,1588,1885
Grace,F,1575,1885
Ethel,F,1495,1885
Nellie,F,1432,1885
Martha,F,1425,1885
Sarah,F,1424,1885
Ella,F,1395,1885
Mabel,F,1349,1885
William,M,8044,1885
James,M,5175,1885
George,M,4674,1885
Charles,M,4599,1885
Frank,M,3067,1885
Joseph,M,2540,1885
Henry,M,2406,1885
Robert,M,2322,1885
Thomas,M,2266,1885
Edward,M,2220,1885
Harry,M,2198,1885
Walter,M,1808,1885
Fred,M,1562,1885
Arthur,M,1516,1885
Albert,M,1429,1885
Clarence,M,906,1885
Samuel,M,888,1885
Louis,M,809,1885
Grover,M,768,1885
Ernest,M,718,1885
Mary,F,9889,1886
Anna,F,4283,1886
Emma,F,2764,1886
Elizabeth,F,2680,1886
Minnie,F,2372,1886
Margaret,F,2275,1886
Ida,F,2049,1886
Bertha,F,2001,1886
Clara,F,1916,1886
Florence,F,1860,1886
Alice,F,1811,1886
Bessie,F,1791,1886
Annie,F,1765,1886
Grace,F,1723,1886
Ethel,F,1699,1886
Sarah,F,1569,1886
Nellie,F,1492,1886
Martha,F,1491,1886
Ella,F,1464,1886
Mabel,F,1422,1886
William,M,8252,1886
James,M,5355,1886
George,M,4671,1886
Charles,M,4533,1886
Frank,M,3127,1886
Joseph,M,2594,1886
Robert,M,2443,1886
Henry,M,2404,1886
